site,latitude,longitude,sampling_date,beach_width,buffer_100m,buffer_200m,wave_exposure,aspect,slope_mean,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,slope_9,slope_10,boulder_1,boulder_2,boulder_3,boulder_4,boulder_5,boulder_6,boulder_7,boulder_8,boulder_9,boulder_10,cobble_1,cobble_2,cobble_3,cobble_4,cobble_5,cobble_6,cobble_7,cobble_8,cobble_9,cobble_10,pebble_1,pebble_2,pebble_3,pebble_4,pebble_5,pebble_6,pebble_7,pebble_8,pebble_9,pebble_10,granule_1,granule_2,granule_3,granule_4,granule_5,granule_6,granule_7,granule_8,granule_9,granule_10,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,sand_7,sand_8,sand_9,sand_10,wind_direction,wind_speed,wave_height,wave_period,high_tide,human_activity
Cruise,57.12442,-135.39061,30-Aug-22,35,4886,6249,Semi-protected,231,8.1,10,5,13,1,8,9,14,5,10,6,0,0,0,0,0,0,0,0,0,0,15,10,15,20,20,40,35,35,30,25,85,90,85,80,80,60,65,65,70,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.3,3.95,1.467,10.107,2.87,None
Eagle,57.04676,-135.30766,14-Aug-22,95,12198,42104,Protected,286,5.6,3,9,1,8,6,7,10,3,6,3,0,0,0,0,0,0,0,0,0,0,10,15,15,5,10,15,0,0,0,0,90,85,85,95,90,85,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.1,10.65,2.07,6.683,3.32,Med
Ferry,57.04736,-135.29689,11-Aug-22,59,6827,11265,Protected,180,10.1,11,13,8,17,13,9,10,9,6,5,0,0,0,0,30,0,0,25,40,40,0,0,0,0,0,0,0,0,0,0,100,100,100,100,70,100,100,75,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.8,3.572,1.154,7.36,3.43,None
Halibut,57.10227,-135.40129,25-Aug-22,117,17717,34549,Semi-protected,270,9.5,5,10,4,8,8,10,16,14,11,9,0,0,0,0,0,0,0,0,0,0,10,15,10,5,15,5,10,15,0,5,90,85,90,95,85,95,90,85,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,4.781,1.335,7.613,2.84,Low
Harbor,57.0884,-135.3851,16-Aug-22,43,6101,10593,Semi-protected,219,8.6,10,2,4,8,16,7,13,6,12,8,0,0,0,0,0,0,0,0,0,0,25,20,15,20,15,20,25,30,15,20,75,80,85,80,85,80,75,70,85,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.9,5.897,1.19,10.53,2.79,Low
Indian,57.04532,-135.31259,10-Sep-22,286,17562,75915,Protected,320,9.7,7,10,9,8,11,16,7,14,6,9,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,0,0,0,0,0,90,95,40,90,95,100,100,90,100,100,0,0,20,5,0,0,0,10,0,0,0,0,35,0,0,0,0,0,0,0,302.7,4.433,3.142,10.913,3.35,Low
Jamestown,57.04678,-135.29126,24-Aug-22,31,5853,9120,Protected,187,12,12,17,14,13,7,11,8,12,16,10,20,35,0,30,20,30,45,0,0,25,10,0,10,25,25,15,10,25,20,35,70,65,90,45,55,55,45,75,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,8.436,1.457,10.152,2.71,None
Magic,57.09881,-135.39892,9-Aug-22,58,11960,30471,Semi-protected,191,8.6,13,9,10,10,5,6,3,16,5,9,0,0,0,0,0,0,0,0,0,0,5,40,10,0,5,0,0,5,0,5,95,60,90,100,95,100,100,95,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.4,4.556,1.242,7.812,3.12,None
Mosquito,57.13763,-135.3732,1-Sep-22,31,4129,8583,Semi-protected,245,9.5,14,13,9,8,12,7,13,7,5,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,65,50,40,40,70,70,75,80,40,20,10,50,60,60,30,20,10,20,0,0,0,0,0,0,0,10,15,0,213.1,2.881,1.277,9.79,2.52,High
NetIsland,57.09081,-135.38999,26-Aug-22,55,9054,15536,Semi-protected,228,9.2,11,8,12,4,16,8,6,6,12,9,0,0,0,0,0,0,0,0,0,0,5,10,5,5,10,10,10,15,10,15,95,90,95,95,90,90,90,85,90,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.8,5.294,1.17,16,2.94,Low
OldSitka,57.13132,-135.37245,12-Aug-22,75,12551,40549,Protected,22,9.7,5,13,6,6,15,11,10,6,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,95,100,95,90,100,100,100,100,0,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.7,3.82,1.188,8.117,3.5,Med
Private,57.04456,-135.30503,17-Aug-22,23,7534,14264,Protected,269,13.9,11,12,7,15,17,18,16,12,12,19,0,0,0,0,0,0,0,0,0,0,10,20,10,10,0,0,5,0,10,0,90,80,90,90,100,100,95,100,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.8,13.039,3.437,7.875,2.47,None
Sandy,57.07611,-135.37424,6-Aug-22,62,16530,26971,Semi-protected,215,18.3,27,22,24,20,17,11,19,12,11,20,0,0,0,0,0,0,0,0,0,0,55,20,25,20,15,40,20,0,30,40,45,80,75,80,85,60,80,100,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.7,6.984,2.438,8.263,1.91,Low
Shotgun,57.12682,-135.38631,29-Aug-22,20,2061,5307,Protected,350,10.7,5,11,8,11,5,10,15,19,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,80,75,85,80,90,85,80,90,20,30,20,25,15,20,10,15,20,10,0,0,0,0,0,0,0,0,0,0,166,6.719,1.522,8.71,2.97,None
Totem,57.04743,-135.31858,9-Sep-22,202,17869,60308,Protected,226,11.2,14,8,6,5,16,18,8,17,12,8,0,0,0,0,0,0,0,0,0,0,15,10,20,10,5,0,15,25,40,30,80,70,80,90,95,100,85,75,60,70,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5.117,1.307,6.407,3.29,High
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,