site,site_number,sampling_date,sampling_method,swath_width,transect_number,zone_start,zone_end,species_ID,species,moisture,bag_mass,total_mass,wrack_mass_measured,wrack_mass_per_transect
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Wet,35,55,20,20
Sandy,1,6-Aug-22,1m Swath Transect,1,1,10,20,ZOMA,Zostera marina,Wet,35,44,9,9
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,MAPY,Macrocystis pyrifera,Wet,35,55,20,20
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Wet,35,440,405,405
Sandy,1,6-Aug-22,1m Swath Transect,1,1,0,10,DUAL,Dumontia alaskana,Wet,0,6.2,6.2,6.2
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,HAGL,Halosacccion glandiforme,Wet,0,2.2,2.2,2.2
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,ZOMA,Zostera marina,Wet,0,6,6,6
Sandy,1,6-Aug-22,1m Swath Transect,1,2,0,10,FUDI,Fucus distichus,Wet,0,90.5,90.5,90.5
Sandy,1,6-Aug-22,1m Swath Transect,1,3,10,20,ZOMA,Zostera marina,Wet,0,1.7,1.7,1.7
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,HAGL,Halosacccion glandiforme,Wet,0,5.8,5.8,5.8
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,ZOMA,Zostera marina,Wet,0,0.1,0.1,0.1
Sandy,1,6-Aug-22,1m Swath Transect,1,3,0,10,FUDI,Fucus distichus,Wet,0,37.4,37.4,37.4
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Dry,21,47,26,26
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,DEAC,Desmarestia aculeata,Dry,21,36,15,15
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Dry,20,255,235,235
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,DEAC,Desmarestia aculeata,Wet,20,265,245,245
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,MAPY,Macrocystis pyrifera,Wet,20,670,650,650
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,FUDI,Fucus distichus,Wet,60,2570,2510,2510
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,ZOMA,Zostera marina,Wet,40,1675,1635,1635
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,HAGL,Halosacccion glandiforme,Wet,21,24,3,3
Magic,2,9-Aug-22,1m Swath Transect,1,1,0,10,NELA,Neorhodomela larix,Wet,21,22,1,1
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,ZOMA,Zostera marina,Dry,20,95,75,75
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,FUDI,Fucus distichus,Dry,20,265,245,245
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,DEAC,Desmarestia aculeata,Wet,20,130,110,110
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,MAPY,Macrocystis pyrifera,Wet,20,136,116,116
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,FUDI,Fucus distichus,Wet,40,1855,1815,1815
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,ZOMA,Zostera marina,Wet,40,1590,1550,1550
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,NELA,Neorhodomela larix,Wet,20,65,45,45
Magic,2,9-Aug-22,1m Swath Transect,1,2,0,10,ULLA,Ulva latuca,Wet,21,27,6,6
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,ZOMA,Zostera marina,Dry,20,80,60,60
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,DEAC,Desmarestia aculeata,Dry,21,47,26,26
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,DEAC,Desmarestia aculeata,Wet,20,460,440,440
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,MAPY,Macrocystis pyrifera,Wet,23,385,362,362
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,FUDI,Fucus distichus,Dry,25,290,265,265
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,FUDI,Fucus distichus,Wet,60,2565,2505,2505
Magic,2,9-Aug-22,1m Swath Transect,1,3,0,10,ZOMA,Zostera marina,Wet,100,3225,3125,3125
Ferry,3,11-Aug-22,1m Swath Transect,1,1,0,5,FUDI,Fucus distichus,Wet,20,86,66,66
Ferry,3,11-Aug-22,1m Swath Transect,1,1,0,5,ZOMA,Zostera marina,Dry,19,32,13,13
Ferry,3,11-Aug-22,1m Swath Transect,1,1,5,10,FUDI,Fucus distichus,Wet,20,47,27,27
Ferry,3,11-Aug-22,1m Swath Transect,1,1,10,15,FUDI,Fucus distichus,Wet,20,60,40,40
Ferry,3,11-Aug-22,1m Swath Transect,1,1,15,20,FUDI,Fucus distichus,Wet,20,100,80,80
Ferry,3,11-Aug-22,1m Swath Transect,1,2,0,5,FUDI,Fucus distichus,Wet,20,185,165,165
Ferry,3,11-Aug-22,1m Swath Transect,1,2,0,5,NELA,Neorhodomela larix,Wet,21,22,1,1
Ferry,3,11-Aug-22,1m Swath Transect,1,2,0,5,ZOMA,Zostera marina,Dry,21,42,21,21
Ferry,3,11-Aug-22,1m Swath Transect,1,2,5,10,ZOMA,Zostera marina,Dry,21,22,1,1
Ferry,3,11-Aug-22,1m Swath Transect,1,2,5,10,MAST,Mastocarpus spp.,Wet,21,23,2,2
Ferry,3,11-Aug-22,1m Swath Transect,1,2,5,10,FUDI,Fucus distichus,Wet,21,36,15,15
Ferry,3,11-Aug-22,1m Swath Transect,1,2,10,15,ZOMA,Zostera marina,Wet,21,22,1,1
Ferry,3,11-Aug-22,1m Swath Transect,1,2,10,15,CLSE,Cladophora sericea,Wet,0,0.5,0.5,0.5
Ferry,3,11-Aug-22,1m Swath Transect,1,2,10,15,FUDI,Fucus distichus,Wet,20,105,85,85
Ferry,3,11-Aug-22,1m Swath Transect,1,2,15,20,FUDI,Fucus distichus,Wet,20,55,35,35
Ferry,3,11-Aug-22,1m Swath Transect,1,2,15,20,ZOMA,Zostera marina,Wet,21,21.5,0.5,0.5
Ferry,3,11-Aug-22,1m Swath Transect,1,2,15,20,CLSE,Cladophora sericea,Wet,20,20.75,0.75,0.75
Ferry,3,11-Aug-22,1m Swath Transect,1,3,0,5,FUDI,Fucus distichus,Wet,20,80,60,60
Ferry,3,11-Aug-22,1m Swath Transect,1,3,0,5,ZOMA,Zostera marina,Dry,21,33,12,12
Ferry,3,11-Aug-22,1m Swath Transect,1,3,5,10,ZOMA,Zostera marina,Wet,21,24,3,3
Ferry,3,11-Aug-22,1m Swath Transect,1,3,5,10,FUDI,Fucus distichus,Wet,21,48,27,27
Ferry,3,11-Aug-22,1m Swath Transect,1,3,10,15,ZOMA,Zostera marina,Wet,21,21.5,0.5,0.5
Ferry,3,11-Aug-22,1m Swath Transect,1,3,10,15,CLSE,Cladophora sericea,Wet,21,23.5,2.5,2.5
Ferry,3,11-Aug-22,1m Swath Transect,1,3,10,15,FUDI,Fucus distichus,Wet,20,1960,1940,1940
Ferry,3,11-Aug-22,1m Swath Transect,1,3,15,20,FUDI,Fucus distichus,Wet,20,250,230,230
Ferry,3,11-Aug-22,1m Swath Transect,1,3,15,20,ZOMA,Zostera marina,Wet,20,20.5,0.5,0.5
Ferry,3,11-Aug-22,1m Swath Transect,1,3,15,20,CLSE,Cladophora sericea,Wet,21,21.75,0.75,0.75
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,15,20,FUDI,Fucus distichus,Wet,20,31,11,11
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,10,15,FUDI,Fucus distichus,Wet,20,55,35,35
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,5,10,FUDI,Fucus distichus,Wet,20,41,21,21
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,FUDI,Fucus distichus,Wet,20,505,485,485
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,5,10,MAST,Mastocarpus spp.,Wet,0,0.269,0.269,0.269
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,5,10,CHFL,Chordaria flagelliformis,Wet,0,2.333,2.333,2.333
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,5,10,CLSE,Cladophora sericea,Wet,0,2.299,2.299,2.299
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,5,10,ENMU,Endocladia muricata,Wet,0,0.15,0.15,0.15
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,MAST,Mastocarpus spp.,Wet,0,5.442,5.442,5.442
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,ULIN,Ulva intestinalis,Wet,0,1.007,1.007,1.007
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,ZOMA,Zostera marina,Wet,0,1.747,1.747,1.747
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,CHFL,Chordaria flagelliformis,Wet,0,0.213,0.213,0.213
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,PYLI,Pylaiella littoralis,Wet,0,13.598,13.598,13.598
OldSitka,4,12-Aug-22,1m Swath Transect,1,1,0,5,CLSE,Cladophora sericea,Wet,0,5.873,5.873,5.873
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,15,20,FUDI,Fucus distichus,Wet,19.5,26,6.5,6.5
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,5,10,FUDI,Fucus distichus,Wet,20,37,17,17
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,FUDI,Fucus distichus,Wet,20,785,765,765
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,5,10,MAST,Mastocarpus spp.,Wet,0,0.474,0.474,0.474
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,5,10,CLSE,Cladophora sericea,Wet,0,0.387,0.387,0.387
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,5,10,PYLI,Pylaiella littoralis,Wet,0,0.768,0.768,0.768
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,MAST,Mastocarpus spp.,Wet,0,5.981,5.981,5.981
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,NEOR,Neorhodomela oregona,Wet,0,0.47,0.47,0.47
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,ULIN,Ulva intestinalis,Wet,0,2.767,2.767,2.767
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,CLSE,Cladophora sericea,Wet,0,5.856,5.856,5.856
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,ZOMA,Zostera marina,Wet,0,0.721,0.721,0.721
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,PYLI,Pylaiella littoralis,Wet,0,9.381,9.381,9.381
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,CHFL,Chordaria flagelliformis,Wet,0,0.411,0.411,0.411
OldSitka,4,12-Aug-22,1m Swath Transect,1,2,0,5,ENMU,Endocladia muricata,Wet,0,1.254,1.254,1.254
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,ZOMA,Zostera marina,Dry,21,24,3,3
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,MAST,Mastocarpus spp.,Wet,21,23.5,2.5,2.5
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,FUDI,Fucus distichus,Wet,20,690,670,670
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,FUDI,Fucus distichus,Wet,20,1085,1065,1065
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,10,15,FUDI,Fucus distichus,Wet,20,118,98,98
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,15,20,FUDI,Fucus distichus,Wet,21,41,20,20
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,ULIN,Ulva intestinalis,Wet,0,2.814,2.814,2.814
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,PYLI,Pylaiella littoralis,Wet,0,28.625,28.625,28.625
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,MAST,Mastocarpus spp.,Wet,0,6.336,6.336,6.336
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,PYLI,Pylaiella littoralis,Wet,0,9.736,9.736,9.736
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,CHFL,Chordaria flagelliformis,Wet,0,0.943,0.943,0.943
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,CLSE,Cladophora sericea,Wet,0,1.742,1.742,1.742
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,ULIN,Ulva intestinalis,Wet,0,2.554,2.554,2.554
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,ZOMA,Zostera marina,Wet,0,1.719,1.719,1.719
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,NEOR,Neorhodomela oregona,Wet,0,0.358,0.358,0.358
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,DUAL,Dumontia alaskana,Wet,0,0.553,0.553,0.553
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,NEOR,Neorhodomela oregona,Wet,0,13.164,13.164,13.164
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,GLFU,Gloiopeltis furcata,Wet,0,0.158,0.158,0.158
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,ULPR,Ulva prolifera,Wet,0,6.213,6.213,6.213
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,0,5,CLSE,Cladophora sericea,Wet,0,1.712,1.712,1.712
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,ULPR,Ulva prolifera,Wet,0,0.656,0.656,0.656
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,CLSE,Cladophora sericea,Wet,0,5.165,5.165,5.165
OldSitka,4,12-Aug-22,1m Swath Transect,1,3,5,10,ENMU,Endocladia muricata,Wet,0,0.383,0.383,0.383
Eagle,5,14-Aug-22,1m Swath Transect,1,1,15,20,FUDI,Fucus distichus,Wet,20,140,120,120
Eagle,5,14-Aug-22,1m Swath Transect,1,1,15,20,PYLI,Pylaiella littoralis,Wet,31,32,1,1
Eagle,5,14-Aug-22,1m Swath Transect,1,1,15,20,ZOMA,Zostera marina,Wet,31,34.3,3.3,3.3
Eagle,5,14-Aug-22,1m Swath Transect,1,1,10,15,FUDI,Fucus distichus,Wet,31,33,2,2
Eagle,5,14-Aug-22,1m Swath Transect,1,1,5,10,FUDI,Fucus distichus,Wet,31.5,38.2,6.7,6.7
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,PYLI,Pylaiella littoralis,Wet,30,150,120,120
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,PYRO,Pyropia spp.,Wet,30,48.6,18.6,18.6
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,ZOMA,Zostera marina,Wet,30,69,39,39
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,FUDI,Fucus distichus,Wet,60,1860,1800,1800
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,CEPA,Ceramium pacificum,Wet,0,6.694,6.694,6.694
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,NELA,Neorhodomela larix,Wet,0,0.628,0.628,0.628
Eagle,5,14-Aug-22,1m Swath Transect,1,1,0,5,CLSE,Cladophora sericea,Wet,0,0.237,0.237,0.237
Eagle,5,14-Aug-22,1m Swath Transect,1,2,15,20,FUDI,Fucus distichus,Wet,36,55,19,19
Eagle,5,14-Aug-22,1m Swath Transect,1,2,5,10,FUDI,Fucus distichus,Wet,35,36,1,1
Eagle,5,14-Aug-22,1m Swath Transect,1,2,5,10,PYLI,Pylaiella littoralis,Wet,33,46.8,13.8,13.8
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,PYLI,Pylaiella littoralis,Wet,34,47.5,13.5,13.5
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,ZOMA,Zostera marina,Wet,34,43,9,9
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,FUDI,Fucus distichus,Wet,35,490,455,455
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,HAGL,Halosacccion glandiforme,Wet,0,1.366,1.366,1.366
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,ULIN,Ulva intestinalis,Wet,0,0.106,0.106,0.106
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,CEPA,Ceramium pacificum,Wet,0,2.276,2.276,2.276
Eagle,5,14-Aug-22,1m Swath Transect,1,2,0,5,MIBO,Microcladia borealis,Wet,0,0.686,0.686,0.686
Eagle,5,14-Aug-22,1m Swath Transect,1,3,15,20,FUDI,Fucus distichus,Wet,30,68,38,38
Eagle,5,14-Aug-22,1m Swath Transect,1,3,0,5,PYLI,Pylaiella littoralis,Wet,32,33.3,1.3,1.3
Eagle,5,14-Aug-22,1m Swath Transect,1,3,0,5,ZOMA,Zostera marina,Wet,31.5,44.2,12.7,12.7
Eagle,5,14-Aug-22,1m Swath Transect,1,3,0,5,FUDI,Fucus distichus,Wet,30,245,215,215
Harbor,6,16-Aug-22,1m Swath Transect,1,1,10,15,FUDI,Fucus distichus,Wet,22.5,43,20.5,20.5
Harbor,6,16-Aug-22,1m Swath Transect,1,1,10,15,MAST,Mastocarpus spp.,Wet,22.5,62,39.5,39.5
Harbor,6,16-Aug-22,1m Swath Transect,1,1,10,15,ZOMA,Zostera marina,Wet,22.5,27.25,4.75,4.75
Harbor,6,16-Aug-22,1m Swath Transect,1,1,10,15,NELA,Neorhodomela larix,Wet,0,0.828,0.828,0.828
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,NELA,Neorhodomela larix,Wet,21,44,23,23
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,DEAC,Desmarestia aculeata,Wet,21,34,13,13
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,MAST,Mastocarpus spp.,Wet,21,47,26,26
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,SALA,Saccharina latissima,Wet,21.5,24,2.5,2.5
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,OSSP,Osmundea spectabilis,Dry,0,0.338,0.338,0.338
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,ZOMA,Zostera marina,Wet,21,150,129,129
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,FUDI,Fucus distichus,Wet,21,545,524,524
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,DEAC,Desmarestia aculeata,Wet,25,240,215,215
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,MAPY,Macrocystis pyrifera,Wet,30,100,70,70
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,NELA,Neorhodomela larix,Wet,30,190,160,160
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,MAST,Mastocarpus spp.,Wet,30,230,200,200
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,ZOMA,Zostera marina,Wet,120,3660,3540,3540
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,FUDI,Fucus distichus,Wet,120,3310,3190,3190
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,MAPY,Macrocystis pyrifera,Wet,0,0.588,0.588,0.588
Harbor,6,16-Aug-22,1m Swath Transect,1,1,5,10,PAPA,Palmaria palmata,Wet,0,4.044,4.044,4.044
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,MAST,Mastocarpus spp.,Wet,0,0.596,0.596,0.596
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,PAPA,Palmaria palmata,Wet,0,14.668,14.668,14.668
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,NELA,Neorhodomela larix,Wet,0,0.127,0.127,0.127
Harbor,6,16-Aug-22,1m Swath Transect,1,1,10,15,OSSP,Osmundea spectabilis,Dry,0,0.11,0.11,0.11
Harbor,6,16-Aug-22,1m Swath Transect,1,1,0,5,OSSP,Osmundea spectabilis,Dry,0,0.121,0.121,0.121
Harbor,6,16-Aug-22,1m Swath Transect,1,2,15,20,FUDI,Fucus distichus,Wet,22,37,15,15
Harbor,6,16-Aug-22,1m Swath Transect,1,2,15,20,MAPY,Macrocystis pyrifera,Wet,21,22,1,1
Harbor,6,16-Aug-22,1m Swath Transect,1,2,10,15,ZOMA,Zostera marina,Wet,20.5,23,2.5,2.5
Harbor,6,16-Aug-22,1m Swath Transect,1,2,10,15,FUDI,Fucus distichus,Wet,20.5,21,0.5,0.5
Harbor,6,16-Aug-22,1m Swath Transect,1,2,10,15,MAST,Mastocarpus spp.,Wet,20.5,21,0.5,0.5
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,FUDI,Fucus distichus,Wet,35.5,60,24.5,24.5
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,MAST,Mastocarpus spp.,Wet,35,48,13,13
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,DEAC,Desmarestia aculeata,Wet,38,76,38,38
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,MAST,Mastocarpus spp.,Wet,38,80,42,42
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,NELA,Neorhodomela larix,Wet,40,85,45,45
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,MAPY,Macrocystis pyrifera,Wet,40,60,20,20
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,ZOMA,Zostera marina,Wet,40,440,400,400
Harbor,6,16-Aug-22,1m Swath Transect,1,2,0,5,FUDI,Fucus distichus,Wet,95,1375,1280,1280
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,NELA,Neorhodomela larix,Wet,0,2.665,2.665,2.665
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,DEAC,Desmarestia aculeata,Wet,0,0.726,0.726,0.726
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,PAPA,Palmaria palmata,Wet,0,1.56,1.56,1.56
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,MAST,Mastocarpus spp.,Wet,0,1.1,1.1,1.1
Harbor,6,16-Aug-22,1m Swath Transect,1,2,5,10,OSSP,Osmundea spectabilis,Dry,0,0.291,0.291,0.291
Harbor,6,16-Aug-22,1m Swath Transect,1,3,15,20,ZOMA,Zostera marina,Wet,21,22,1,1
Harbor,6,16-Aug-22,1m Swath Transect,1,3,15,20,FUDI,Fucus distichus,Wet,20.5,21.5,1,1
Harbor,6,16-Aug-22,1m Swath Transect,1,3,10,15,MAST,Mastocarpus spp.,Wet,20,22,2,2
Harbor,6,16-Aug-22,1m Swath Transect,1,3,10,15,ZOMA,Zostera marina,Wet,20.5,20.75,0.25,0.25
Harbor,6,16-Aug-22,1m Swath Transect,1,3,10,15,FUDI,Fucus distichus,Wet,22,22.25,0.25,0.25
